date,forecast
2025-05-01,383.880126953125
2025-05-02,370.103668212891
2025-05-03,92.4953231811523
2025-05-04,87.972526550293
2025-05-05,369.374755859375
2025-05-06,382.5517578125
2025-05-07,384.946746826172
2025-05-08,386.714813232422
2025-05-09,377.362731933594
2025-05-10,92.4953231811523
2025-05-11,87.972526550293
2025-05-12,364.542938232422
2025-05-13,376.001647949219
2025-05-14,381.502166748047
2025-05-15,378.478424072266
2025-05-16,378.410217285156
2025-05-17,91.9544143676758
2025-05-18,87.4316177368164
2025-05-19,363.523590087891
2025-05-20,374.869262695313
2025-05-21,381.528472900391
2025-05-22,384.973052978516
2025-05-23,381.430908203125
2025-05-24,92.4953231811523
2025-05-25,87.972526550293
2025-05-26,176.403533935547
2025-05-27,338.752105712891
2025-05-28,344.829956054688
2025-05-29,334.401214599609
2025-05-30,335.585571289063
2025-05-31,75.0352554321289
2025-06-01,70.208122253418
2025-06-02,320.889678955078
2025-06-03,329.827606201172
2025-06-04,332.047332763672
2025-06-05,338.283843994141
2025-06-06,332.047332763672
2025-06-07,76.1183929443359
2025-06-08,63.1978797912598
2025-06-09,301.407562255859
2025-06-10,317.636444091797
2025-06-11,325.758697509766
2025-06-12,327.369110107422
2025-06-13,327.101165771484
2025-06-14,74.8656997680664
2025-06-15,60.5850372314453
2025-06-16,313.751495361328
2025-06-17,320.358917236328
2025-06-18,320.358917236328
2025-06-19,227.990798950195
2025-06-20,297.240692138672
2025-06-21,63.3489074707031
2025-06-22,52.3209037780762
2025-06-23,303.815338134766
2025-06-24,300.666900634766
2025-06-25,305.982391357422
2025-06-26,307.815338134766
2025-06-27,305.982391357422
2025-06-28,55.0542221069336
2025-06-29,50.6030578613281
2025-06-30,303.815338134766
2025-07-01,300.666900634766
2025-07-02,300.666900634766
2025-07-03,288.857269287109
2025-07-04,182.882034301758
2025-07-05,49.064266204834
2025-07-06,49.564453125
2025-07-07,262.884918212891
2025-07-08,269.231811523438
2025-07-09,269.231811523438
2025-07-10,261.487670898438
2025-07-11,265.450988769531
2025-07-12,47.0344276428223
2025-07-13,53.3723373413086
2025-07-14,260.667022705078
2025-07-15,269.9755859375
2025-07-16,269.9755859375
2025-07-17,269.9755859375
2025-07-18,255.665481567383
2025-07-19,47.0344276428223
2025-07-20,53.3723373413086
2025-07-21,252.345321655273
2025-07-22,266.946960449219
2025-07-23,266.946960449219
2025-07-24,260.307922363281
2025-07-25,261.653930664063
2025-07-26,46.6263999938965
2025-07-27,52.9643096923828
2025-07-28,250.999298095703
2025-07-29,266.946960449219
2025-07-30,266.946960449219
2025-07-31,266.946960449219
2025-08-01,260.307922363281
2025-08-02,46.6263999938965
2025-08-03,52.9643096923828
2025-08-04,249.489974975586
2025-08-05,261.653930664063
2025-08-06,261.653930664063
2025-08-07,260.307922363281
2025-08-08,260.307922363281
2025-08-09,46.6263999938965
2025-08-10,52.9643096923828
2025-08-11,249.489974975586
2025-08-12,261.653930664063
2025-08-13,261.653930664063
2025-08-14,261.653930664063
2025-08-15,260.307922363281
2025-08-16,46.6263999938965
2025-08-17,52.9643096923828
2025-08-18,249.489974975586
2025-08-19,260.307922363281
2025-08-20,260.307922363281
2025-08-21,260.307922363281
2025-08-22,260.307922363281
2025-08-23,46.6263999938965
2025-08-24,52.9643096923828
2025-08-25,249.489974975586
2025-08-26,260.307922363281
2025-08-27,260.307922363281
2025-08-28,260.307922363281
2025-08-29,260.307922363281
2025-08-30,144.561996459961
2025-08-31,46.7620544433594
2025-09-01,138.955093383789
2025-09-02,239.409683227539
2025-09-03,254.36213684082
2025-09-04,254.36213684082
2025-09-05,254.36213684082
2025-09-06,55.5404510498047
2025-09-07,47.0918426513672
2025-09-08,243.549728393555
2025-09-09,254.36213684082
2025-09-10,254.36213684082
2025-09-11,254.36213684082
2025-09-12,254.36213684082
2025-09-13,148.175903320313
2025-09-14,46.7620544433594
2025-09-15,248.655563354492
2025-09-16,260.307922363281
2025-09-17,260.307922363281
2025-09-18,262.5244140625
2025-09-19,262.5244140625
2025-09-20,56.4855422973633
2025-09-21,49.1564254760742
2025-09-22,249.489974975586
2025-09-23,260.307922363281
2025-09-24,260.307922363281
2025-09-25,260.307922363281
2025-09-26,260.307922363281
2025-09-27,149.639526367188
2025-09-28,46.7620544433594
2025-09-29,256.259613037109
2025-09-30,262.5244140625
2025-10-01,262.5244140625
2025-10-02,263.870483398438
2025-10-03,263.870483398438
2025-10-04,56.2551536560059
2025-10-05,49.1564254760742
2025-10-06,249.489974975586
2025-10-07,260.307922363281
2025-10-08,260.307922363281
2025-10-09,260.307922363281
2025-10-10,260.307922363281
2025-10-11,51.5663452148438
2025-10-12,49.1564254760742
2025-10-13,250.202529907227
2025-10-14,261.653930664063
2025-10-15,261.653930664063
2025-10-16,261.653930664063
2025-10-17,261.653930664063
2025-10-18,46.6263999938965
2025-10-19,52.9643096923828
2025-10-20,249.489974975586
2025-10-21,260.307922363281
2025-10-22,260.307922363281
2025-10-23,260.307922363281
2025-10-24,260.307922363281
2025-10-25,144.561996459961
2025-10-26,46.7620544433594
2025-10-27,256.259613037109
2025-10-28,262.5244140625
2025-10-29,262.5244140625
2025-10-30,262.5244140625
2025-10-31,262.5244140625
2025-11-01,56.4855422973633
2025-11-02,49.1564254760742
2025-11-03,249.489974975586
2025-11-04,260.307922363281
2025-11-05,260.307922363281
2025-11-06,260.307922363281
2025-11-07,260.307922363281
2025-11-08,149.639526367188
2025-11-09,46.7620544433594
2025-11-10,256.972137451172
2025-11-11,263.870483398438
2025-11-12,263.870483398438
